,M0 forced idle,M1 forced idle
0,0,1
1,0,1
2,0,1
3,0,1
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,1
22,0,1
23,0,1
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,1,0
39,1,0
40,1,0
41,1,0
42,0,0
43,0,0
44,1,0
45,1,0
46,1,0
47,1,0
48,0,0
49,0,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,0,0
62,0,0
63,1,0
64,1,0
65,1,0
66,1,0
67,0,0
68,0,0
69,1,0
70,1,0
71,1,0
72,1,0
73,0,0
74,0,0
75,1,0
76,1,0
77,1,0
78,1,0
79,0,0
80,0,0
81,1,0
82,1,0
83,1,0
84,1,0
85,0,0
86,0,0
87,1,0
88,1,0
89,1,0
90,1,0
91,0,0
92,0,0
93,1,0
94,1,0
95,1,0
96,1,0
97,0,0
98,0,0
99,0,0
